iter	Passed	Remaining
249	5854	5854
250	5881	5834
251	5908	5814
252	5927	5787
253	5958	5771
254	5993	5758
255	6019	5737
256	6047	5717
257	6071	5694
258	6082	5659
259	6111	5641
260	6140	5622
261	6161	5597
262	6196	5583
263	6225	5565
264	6255	5546
265	6276	5521
266	6304	5501
267	6329	5479
268	6350	5453
269	6380	5435
270	6415	5421
271	6442	5400
272	6471	5381
273	6501	5362
274	6525	5338
275	6558	5323
276	6587	5303
277	6618	5285
278	6644	5263
279	6673	5243
280	6702	5223
281	6731	5203
282	6760	5184
283	6775	5153
284	6808	5135
285	6836	5115
286	6859	5090
287	6882	5066
288	6910	5045
289	6936	5022
290	6966	5003
291	6989	4979
292	7015	4956
293	7046	4937
294	7076	4917
295	7142	4922
296	7178	4906
297	7210	4887
298	7248	4872
299	7281	4854
300	7308	4832
301	7338	4811
302	7367	4790
303	7391	4765
304	7419	4743
305	7446	4720
306	7483	4704
307	7514	4684
308	7535	4658
309	7568	4638
310	7596	4616
311	7635	4600
312	7673	4584
313	7700	4561
314	7724	4536
315	7753	4514
316	7783	4493
317	7813	4472
318	7841	4449
319	7869	4426
320	7891	4400
321	7928	4382
322	7954	4358
323	7986	4338
324	8012	4314
325	8043	4292
326	8068	4268
327	8094	4244
328	8120	4220
329	8151	4199
330	8185	4179
331	8207	4153
332	8237	4131
333	8266	4108
334	8293	4084
335	8321	4061
336	8351	4039
337	8387	4020
338	8418	3998
339	8444	3973
340	8467	3947
341	8491	3922
342	8508	3894
343	8538	3872
344	8576	3853
345	8611	3832
346	8631	3805
347	8652	3779
348	8679	3755
349	8710	3732
350	8740	3710
351	8770	3687
352	8807	3667
353	8833	3643
354	8861	3619
355	8891	3596
356	8921	3573
357	8949	3549
358	8980	3527
359	9005	3501
360	9041	3481
361	9070	3457
362	9096	3433
363	9160	3422
364	9188	3398
365	9211	3372
366	9234	3346
367	9269	3325
368	9304	3303
369	9325	3276
370	9351	3251
371	9379	3227
372	9406	3202
373	9428	3176
374	9457	3152
375	9481	3127
376	9513	3103
377	9539	3078
378	9571	3055
379	9602	3032
380	9633	3008
381	9661	2984
382	9686	2959
383	9711	2933
384	9744	2910
385	9770	2885
386	9794	2859
387	9822	2835
388	9842	2808
389	9868	2783
390	9897	2759
391	9935	2737
392	9961	2712
393	9986	2686
394	10014	2662
395	10041	2637
396	10069	2612
397	10099	2588
398	10135	2565
399	10164	2541
400	10192	2516
401	10215	2490
402	10242	2465
403	10269	2440
404	10287	2413
405	10318	2389
406	10344	2363
407	10382	2341
408	10408	2315
409	10436	2290
410	10459	2264
411	10482	2238
412	10509	2213
413	10529	2187
414	10561	2163
415	10599	2140
416	10629	2115
417	10649	2089
418	10671	2063
419	10695	2037
420	10723	2012
421	10750	1986
422	10783	1962
423	10816	1938
424	10842	1913
425	10864	1887
426	10889	1861
427	10912	1835
428	10938	1810
429	10961	1784
430	10986	1758
431	11024	1735
432	11059	1711
433	11083	1685
434	11113	1660
435	11181	1641
436	11211	1616
437	11242	1591
438	11266	1565
439	11289	1539
440	11321	1514
441	11342	1488
442	11373	1463
443	11403	1438
444	11440	1413
445	11465	1388
446	11489	1362
447	11513	1336
448	11540	1310
449	11564	1284
450	11591	1259
451	11627	1234
452	11668	1210
453	11700	1185
454	11730	1160
455	11753	1134
456	11777	1108
457	11801	1082
458	11826	1056
459	11856	1031
460	11881	1005
461	11909	979
462	11938	954
463	11964	928
464	11993	902
465	12016	876
466	12039	850
467	12064	824
468	12094	799
469	12120	773
470	12150	748
471	12172	722
472	12200	696
473	12234	671
474	12263	645
475	12297	620
476	12328	594
477	12361	568
478	12392	543
479	12421	517
480	12452	491
481	12484	466
482	12516	440
483	12550	414
484	12582	389
485	12609	363
486	12635	337
487	12657	311
488	12681	285
489	12709	259
490	12743	233
491	12769	207
492	12796	181
493	12822	155
494	12854	129
495	12884	103
496	12918	77
497	12956	52
498	12987	26
499	13012	0
